AIRPORT,STATION NAME,LAT,LON
DAB,DAYTONA BEACH INTL,29.183,-81.048
MTJ,MONTROSE REGIONAL AIRPORT,38.505,-107.898
MLB,MELBOURNE INTL AP,28.1,-80.636
GTF,GREAT FALLS INTERNATIONAL AIRPORT,47.473,-111.383
OAJ,ALBERT J ELLIS AIRPORT,34.833,-77.617
BFL,MEADOWS FIELD AIRPORT,35.434,-119.055
LNK,LINCOLN MUNICIPAL AIRPORT,40.848,-96.765
BMI,CENTRAL ILLINOIS REGIONAL AIRPORT,40.483,-88.95
HDN,YAMPA VALLEY AIRPORT,40.481,-107.218
BLI,BELLINGHAM INTL AIRPORT,48.799,-122.541
CPR,NATRONA COUNTY INTERNATIONAL AP,42.898,-106.474
MOT,MINOT INTERNATIONAL ARPT,48.252,-101.269
SUN,FRIEDMAN MEMORIAL AIRPORT,43.5,-114.3
DLH,DULUTH INTERNATIONAL AIRPORT,46.844,-92.187
MBS,MBS INTERNATIONAL AIRPORT,43.528,-84.081
LAN,CAPITAL CITY AIRPORT,42.776,-84.6
PVU,PROVO MUNICIPAL AIRPORT,40.219,-111.723
RST,ROCHESTER INTERNATIONAL AIRPORT,43.904,-92.492
COU,COLUMBIA REGIONAL AIRPORT,38.817,-92.215
MLU,MONROE REGIONAL AIRPORT,32.516,-92.03
AEX,ALEXANDRIA INT,31.317,-92.55
EWN,CRAVEN COUNTY REG AIRPORT,35.068,-77.048
HLN,HELENA REGIONAL AIRPORT,46.604,-111.989
LCH,LAKE CHARLES REGIONAL AIRPORT,30.126,-93.228
ACK,NANTUCKET MEMORIAL AIRPORT,41.254,-70.059
LYH,LYNCHBURG RGNL/PRESTON GLENN FLD AP,37.321,-79.206
AZO,KLMAZO/BTL CREEK INTL ARPT,42.228,-85.546
FLG,FLAGSTAFF PULLIAM AIRPORT,35.144,-111.666
SBY,SALBRY-OCN CTY WICO RGNL AP,38.341,-75.513
TTN,TRENTON MERCER AIRPORT,40.277,-74.816
GRK,ROBERT GRAY AFF AIRPORT,31.067,-97.833
ABI,ABILENE REGIONAL AIRPORT,32.411,-99.682
ACV,ARCATA AIRPORT,40.978,-124.105
YUM,YUMA MARINE CORPS AIR STATION/YUMA INTL AIRPORT,32.667,-114.6
CWA,CENTRAL WISCONSIN AIRPORT,44.783,-89.667
MHK,MANHATTAN REGIONAL AIRPORT,39.135,-96.679
PHF,NWPT NEWS/WIMBURG INTL APT,37.132,-76.494
CMI,UNIVERSI OF IL WILLARD APT,40.032,-88.275
RDD,REDDING MUNICIPAL ARPT,40.518,-122.299
ITH,ITHACA TOMPKINS REGIONAL AIRPORT,42.483,-76.467
ORH,WORCESTER RGNL,42.271,-71.873
HTS,TRI-STATE/M.J.FERGUS,38.365,-82.555
GFK,GRAND FORKS INTERNATIONAL AIRPORT,47.943,-97.183
FSM,FORT SMITH REGIONAL AIRPORT,35.333,-94.365
CLL,EASTERWOOD FLD,30.589,-96.365
LWS,LEWISTON-NEZ PERCE COUNTY AIRPORT,46.375,-117.015
BLV,SCOTT AIR FORCE BASE/MIDAMERICA AIRPORT,38.55,-89.85
TYR,TYLER POUNDS REGIONAL ARPT,32.359,-95.404
SJT,SAN ANGELO REGIONAL/MATHS FIELD AP,31.352,-100.495
ACT,WACO REGIONAL AIRPORT,31.618,-97.228
LAW,LAWTON-FORT SILL RGNL ARPT,34.558,-98.417
MVY,MARTHAS VINEYARD AIRPORT,41.393,-70.616
PUW,PULLMAN/MOSCOW RGNL ARPT,46.744,-117.116
PGV,PITT-GREENVILLE AIRPORT,35.633,-77.383
ELM,ELMIRA/CORNING RGNL ARPT,42.157,-76.903
CSG,COLUMBUS METRO AIRPORT,32.516,-84.942
ERI,ERIE INTL/T. RIDGE FIELD AIRPORT,42.08,-80.182
GUC,GUNSN-CRSTED BUTTE RGL APT,38.533,-106.933
ROW,ROSWELL INTERNATIONAL AIR CENTER AP,33.307,-104.508
LCK,RICKENBACKER INTL AIRPORT,39.817,-82.933
GRI,CENTRAL NEBRASKA REGIONAL AIRPORT,40.961,-98.313
LSE,LA CROSSE MUNICIPAL AIRPORT,43.879,-91.253
COD,YELLOWSTONE REGIONAL ARPT,44.517,-109.017
MQT,MARQUETTE MICHIGAN COUNTY AP (WFO),46.531,-87.549
PLN,PELLSTON REGIONAL ARPT OF EMMET COUNTY ARPT,45.564,-84.793
RFD,GREATER ROCKFORD AIRPORT,42.193,-89.093
FLO,FLORENCE REGIONAL AIRPORT,34.188,-79.731
RHI,RHINELANDER-ONEIDA CO ARPT,45.631,-89.482
BQK,BRUNSWICK GOLDEN ISLES APT,31.259,-81.466
VLD,VALDOSTA REGIONAL AIRPORT,30.776,-83.274
DEC,DECATUR AIRPORT,39.831,-88.872
DHN,DOTHAN REGIONAL AIRPORT,31.318,-85.443
SPI,ABRAHAM LINCOLN CAPITAL AIRPORT,39.845,-89.684
ABY,SW GEORGIA REGIONAL ARPT,31.536,-84.196
TXK,TEXARKANA REGIONAL AIRPORT-WEBB FIELD,33.456,-93.988
HOB,LEA COUNTY REGIONAL AIRPORT,32.693,-103.213
